"name","source","path","rows","cols","bytes"
"Adler","carData","package_data/cardata/Adler.csv",108,3,2054
"AMSsurvey","carData","package_data/cardata/AMSsurvey.csv",24,5,703
"Angell","carData","package_data/cardata/Angell.csv",43,4,823
"Anscombe","carData","package_data/cardata/Anscombe.csv",51,4,1001
"Arrests","carData","package_data/cardata/Arrests.csv",5226,8,222895
"Baumann","carData","package_data/cardata/Baumann.csv",66,6,1373
"BEPS","carData","package_data/cardata/BEPS.csv",1525,10,58720
"Bfox","carData","package_data/cardata/Bfox.csv",30,6,1059
"Blackmore","carData","package_data/cardata/Blackmore.csv",945,4,22687
"Burt","carData","package_data/cardata/Burt.csv",27,3,394
"CanPop","carData","package_data/cardata/CanPop.csv",16,2,202
"CES11","carData","package_data/cardata/CES11.csv",2231,9,143357
"Chile","carData","package_data/cardata/Chile.csv",2700,8,107791
"Chirot","carData","package_data/cardata/Chirot.csv",32,5,838
"Cowles","carData","package_data/cardata/Cowles.csv",1421,4,26923
"Davis","carData","package_data/cardata/Davis.csv",200,5,3564
"DavisThin","carData","package_data/cardata/DavisThin.csv",191,7,2716
"Depredations","carData","package_data/cardata/Depredations.csv",434,5,7297
"Duncan","carData","package_data/cardata/Duncan.csv",45,4,696
"Ericksen","carData","package_data/cardata/Ericksen.csv",66,9,2759
"Florida","carData","package_data/cardata/Florida.csv",67,11,2847
"Freedman","carData","package_data/cardata/Freedman.csv",110,4,1911
"Friendly","carData","package_data/cardata/Friendly.csv",30,2,352
"Ginzberg","carData","package_data/cardata/Ginzberg.csv",82,6,3958
"Greene","carData","package_data/cardata/Greene.csv",384,7,23274
"GSSvocab","carData","package_data/cardata/GSSvocab.csv",28867,8,1340578
"Guyer","carData","package_data/cardata/Guyer.csv",20,3,462
"Hartnagel","carData","package_data/cardata/Hartnagel.csv",38,8,1560
"Highway1","carData","package_data/cardata/Highway1.csv",39,12,2306
"KosteckiDillon","carData","package_data/cardata/KosteckiDillon.csv",4152,9,209294
"Leinhardt","carData","package_data/cardata/Leinhardt.csv",105,4,2396
"LoBD","carData","package_data/cardata/LoBD.csv",84,9,2983
"Mandel","carData","package_data/cardata/Mandel.csv",8,3,153
"Migration","carData","package_data/cardata/Migration.csv",90,8,4696
"Moore","carData","package_data/cardata/Moore.csv",45,4,927
"MplsDemo","carData","package_data/cardata/MplsDemo.csv",84,8,4660
"MplsStops","carData","package_data/cardata/MplsStops.csv",51920,14,6391066
"Mroz","carData","package_data/cardata/Mroz.csv",753,8,31887
"OBrienKaiser","carData","package_data/cardata/OBrienKaiser.csv",16,17,794
"OBrienKaiserLong","carData","package_data/cardata/OBrienKaiserLong.csv",240,6,5974
"Ornstein","carData","package_data/cardata/Ornstein.csv",248,4,4683
"Pottery","carData","package_data/cardata/Pottery.csv",26,6,987
"Prestige","carData","package_data/cardata/Prestige.csv",102,6,3238
"Quartet","carData","package_data/cardata/Quartet.csv",11,6,299
"Robey","carData","package_data/cardata/Robey.csv",50,3,871
"Rossi","carData","package_data/cardata/Rossi.csv",432,62,133149
"Sahlins","carData","package_data/cardata/Sahlins.csv",20,2,212
"Salaries","carData","package_data/cardata/Salaries.csv",397,6,12677
"SLID","carData","package_data/cardata/SLID.csv",7425,5,200406
"Soils","carData","package_data/cardata/Soils.csv",48,14,3654
"States","carData","package_data/cardata/States.csv",51,7,1597
