"Percentage","Pair","Length"
43.7,"Pair1",35
54,"Pair1",35
49.8,"Pair1",35
65.5,"Pair1",35
53.1,"Pair1",35
53,"Pair1",35
62.3,"Pair1",35
49.4,"Pair1",35
45.7,"Pair1",35
56.6,"Pair1",35
59,"Pair1",35
67.8,"Pair1",35
73.3,"Pair1",35
43.8,"Pair1",35
67.4,"Pair1",35
58.1,"Pair1",35
52.5,"Pair2",31
65.6,"Pair2",31
68.5,"Pair2",31
45.9,"Pair2",31
80.2,"Pair2",31
67,"Pair2",31
73,"Pair2",31
71.7,"Pair2",31
55,"Pair2",31
70,"Pair2",31
63.2,"Pair2",31
39.6,"Pair2",31
41,"Pair2",31
59.2,"Pair2",31
91,"Pair3",33
62,"Pair3",33
10,"Pair3",33
83.8,"Pair3",33
91.3,"Pair3",33
56.3,"Pair3",33
83.6,"Pair3",33
53.3,"Pair3",33
36.5,"Pair3",33
65.4,"Pair3",33
48.1,"Pair3",33
50.6,"Pair3",33
40.4,"Pair3",33
90.6,"Pair3",33
74.9,"Pair3",33
56,"Pair3",33
67.5,"Pair3",33
72.2,"Pair4",34
58.5,"Pair4",34
51,"Pair4",34
56.8,"Pair4",34
92.4,"Pair4",34
55.3,"Pair4",34
59.3,"Pair4",34
42,"Pair4",34
68.5,"Pair4",34
78.4,"Pair4",34
69.6,"Pair4",34
89.2,"Pair4",34
67.3,"Pair4",34
77.5,"Pair4",34
78.3,"Pair5",28
66,"Pair5",28
47.7,"Pair5",28
77.5,"Pair5",28
58.3,"Pair5",28
61.1,"Pair5",28
65.1,"Pair5",28
62.9,"Pair5",28
61,"Pair5",28
33.4,"Pair6",34
42.2,"Pair6",34
35.6,"Pair6",34
79.9,"Pair6",34
59,"Pair6",34
58.1,"Pair6",34
64.2,"Pair6",34
82.8,"Pair6",34
75.7,"Pair6",34
66.3,"Pair6",34
56.3,"Pair6",34
84.5,"Pair6",34
61.1,"Pair6",34
87.6,"Pair6",34
