"CommonName","Genus","Species","Group","BodyMass","ClutchVolume"
"Mallard","Anas","platyrhynchos","Mat",1.14,542000
"Greylag Goose","Anser","anser","Mat",3.31,797000
"Mute Swan","Cygnus","olor","Mat",10.7,1750000
"Common Eider","Somateria","mollissima","Mat",2.07,475000
"Southern Screamer","Chauna","torquata","BiP",4.4,513000
"Alpine Swift","Tachymarptis","melba","BiP",0.103,12400
"Crested Treeswift","Hemiprocne","coronata","BiP",0.029,3610
"Rufous Hummingbird","Selasphorus","rufus","Mat",0.0035,921
"Eurasian Nightjar","Caprimulgus","europaeus","BiP",0.067,15600
"Jungle Nightjar","Caprimulgus","indicus","BiP",0.0918,14800
"Large-tailed Nightjar","Caprimulgus","macrurus","BiP",0.0662,14400
"Lesser Nighthawk","Chordeiles","acutipennis","Mat",0.0485,10800
"Pennant-winged Nightjar","Macrodipteryx","vexillarius","Mat",0.0724,9640
"Common Potoo","Nyctibius","griseus","BiP",0.173,16300
"Tawny Frogmouth","Podargus","strigoides","BiP",0.31,51100
"Oilbird","Steatornis","caripensis","BiP",0.408,59500
"Southern Cassowary","Casuarius","casuarius","Pat",45.1,3220000
"Emu","Dromaius","novaehollandiae","Pat",34.2,5140000
"Razorbill","Alca","torda","BiP",0.726,82200
"Dovekie","Alle","alle","BiP",0.181,26900
"Black Guillemot","Cepphus","grylle","BiP",0.378,92300
"Rhinocerous Auklet","Cerorhinca","monocerata","BiP",0.483,75500
"Atlantic Puffin","Fratercula","arctica","Mat",0.652,56200
"Ancient Murrelet","Synthliboramphus","antiquus","BiP",0.207,70400
"Common Murre","Uria","aalge","BiP",0.992,101000
"Eurasian Thick-knee","Burhinus","oedicnemus","BiP",0.459,93200
"Common Ringed Plover","Charadrius","hiaticula","BiP",0.0641,45800
"Snowy Plover","Charadrius","alexandrinus","BiP",0.0423,27600
"Eurasian Dotterel","Charadrius","morinellus","Pat",0.12,58900
"Eurasian Golden-Plover","Pluvialis","apricaria","BiP",0.214,116000
"Northern Lapwing","Vanellus","vanellus","BiP",0.219,102000
"Snowy Sheathbill","Chionis","alba","BiP",0.677,98600
"Cream-colored Courser","Cursorius","cursor","Mat",0.138,21900
"Collared Pratincole","Glareola","pratincola","BiP",0.0849,27800
"Egyptian Plover","Pluvianus","aegyptius","BiP",0.082,22200
"Double-banded Courser","Rhinoptilus","africanus","BiP",0.0875,8810
"Eurasian Oystercatcher","Haematopus","ostralegus","BiP",0.526,161000
"Ibisbill","Ibidorhyncha","struthersii","BiP",0.294,135000
"Pheasant-tailed Jacana","Hydrophasianus","chirurgus","Pat",0.164,57900
"Wattled Jacana","Jacana","jacana","Pat",0.15,38000
"Bronze-winged Jacana","Metopidius","indicus","Pat",0.155,44700
"Black-headed Gull","Larus","ridibundus","BiP",0.284,149000
"Herring Gull","Larus","argentatus","BiP",1.09,259000
"Glaucous Gull","Larus","hyperboreus","BiP",1.54,357000
"Great Black-backed Gull","Larus","marinus","BiP",1.66,386000
"Little Gull","Larus","minutus","BiP",0.118,81900
"Ross' Gull","Rhodosthethia","rosea","BiP",0.187,55000
"Black-legged Kittiwake","Rissa","tridactyla","BiP",0.408,95400
"Plains-wanderer","Pedionomus","torquatus","Pat",0.0632,41800
"Black-winged Stilt","Himantopus","himantopus","BiP",0.161,85300
"Pied Avocet","Recurvirostra","avosetta","BiP",0.304,119000
"Black Skimmer","Rhynchops","niger","Mat",0.302,125000
"Greater Painted-Snipe","Rostratula","benghalensis","Pat",0.121,41200
"Common Sandpiper","Actitis","hypoleucos","BiP",0.048,47800
"Spotted Sandpiper","Actitis","macularius","Pat",0.0404,37600
"Ruddy Turnstone","Arenaria","interpres","BiP",0.136,69500
"Upland Sandpiper","Bartramia","longicauda","BiP",0.159,104000
"Baird's Sandpiper","Calidris","bairdii","BiP",0.0411,31600
"Subantarctic Snipe","Coenocorypha","aucklandica","BiP",0.109,37600
"Great Snipe","Gallinago","media","Mat",0.171,76300
"Black-tailed Godwit","Limosa","limosa","BiP",0.291,197000
"Eurasian Curlew","Numenius","arquata","BiP",0.806,366000
"Wilson's Phalarope","Phalaropus","tricolor","Pat",0.06,32500
"Red Phalarope","Phalaropus","fulicarius","Pat",0.056,30100
"Red-necked Phalarope","Phalaropus","lobatus","Pat",0.04,29000
