cement,slag,fly_ash,water,superplasticizer,coarse_agg,fine_agg,age_days,compressive_strength_mpa,cost_usd_per_m3,embodied_co2_kg_per_m3
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28.0,79.98611076,119.3204,506.0913
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28.0,61.887365759999994,119.5829,506.1693
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270.0,40.269535256000005,98.1726,323.0217
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365.0,41.052779992,98.1726,323.0217
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360.0,44.296075096,79.2924,201.4762
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90.0,47.029847436,84.599,260.3958
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365.0,43.698299404,99.1226,362.3992
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28.0,36.447769788,99.1226,362.3992
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28.0,45.854290856,84.599,260.3958
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28.0,39.28978986,101.0226,441.1542
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90.0,38.074243671999994,79.2924,201.4762
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28.0,28.021683592,79.2924,201.4762
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270.0,43.01296026,100.0726,401.7767
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90.0,42.32693164,83.079,197.3918
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28.0,47.813781648,85.359,291.8978
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90.0,52.908319811999995,86.879,354.9018
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90.0,39.358047983999995,81.5744,154.321
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365.0,56.141962252,86.119,323.3998
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90.0,40.563252031999994,99.1226,362.3992
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180.0,42.620648416,101.0226,441.1542
