country,year,pop,continent,lifeExp,gdpPercap,child_mortality_pct,owid_covered,v2x_polyarchy,v2x_libdem,v2x_regime,vdem_covered,bl_yr_sch,bl_match_year,barrolee_covered
Afghanistan,1952,8425333.0,Asia,28.801,779.4453145,,True,0.089,0.068,0.0,True,0.27,1950.0,True
Afghanistan,1957,9240934.0,Asia,30.332,820.8530296,36.82,True,0.083,0.067,0.0,True,0.31,1955.0,True
Afghanistan,1962,10267083.0,Asia,31.997,853.10071,34.02,True,0.083,0.067,0.0,True,0.37,1960.0,True
Afghanistan,1967,11537966.0,Asia,34.02,836.1971382,31.48,True,0.166,0.099,0.0,True,0.42,1965.0,True
Afghanistan,1972,13079460.0,Asia,36.088,739.9811058,33.79,True,0.157,0.095,0.0,True,0.69,1970.0,True
Afghanistan,1977,14880372.0,Asia,38.438,786.11336,26.29,True,0.102,0.049,0.0,True,0.92,1975.0,True
Afghanistan,1982,12881816.0,Asia,39.854,978.0114388,27.7,True,0.084,0.045,0.0,True,1.22,1980.0,True
Afghanistan,1987,13867957.0,Asia,40.822,852.3959448,24.42,True,0.084,0.044,0.0,True,1.57,1985.0,True
Afghanistan,1992,16317921.0,Asia,41.674,649.3413952,16.91,True,0.096,0.031,0.0,True,1.87,1990.0,True
Afghanistan,1997,22227415.0,Asia,41.763,635.341351,14.44,True,0.073,0.022,0.0,True,2.26,1995.0,True
Afghanistan,2002,25268405.0,Asia,42.129,726.7340548,12.31,True,0.22,0.084,0.0,True,2.86,2000.0,True
Afghanistan,2007,31889923.0,Asia,43.828,974.5803384,10.04,True,0.373,0.2,1.0,True,3.21,2005.0,True
Albania,1952,1282697.0,Europe,55.23,1601.056136,,True,0.172,0.056,0.0,True,2.6,1950.0,True
Albania,1957,1476505.0,Europe,59.28,1942.284244,,True,0.174,0.056,0.0,True,2.77,1955.0,True
Albania,1962,1728137.0,Europe,64.82,2312.888958,,True,0.174,0.056,0.0,True,2.98,1960.0,True
Albania,1967,1984060.0,Europe,66.22,2760.196931,,True,0.173,0.056,0.0,True,3.41,1965.0,True
Albania,1972,2263554.0,Europe,67.69,3313.422188,,True,0.174,0.056,0.0,True,4.28,1970.0,True
Albania,1977,2509048.0,Europe,68.93,3533.00391,,True,0.173,0.058,0.0,True,5.35,1975.0,True
Albania,1982,2780097.0,Europe,70.42,3630.880722,6.89,True,0.173,0.058,0.0,True,6.39,1980.0,True
Albania,1987,3075321.0,Europe,72.0,3738.932735,4.77,True,0.174,0.058,0.0,True,7.78,1985.0,True
Albania,1992,3326498.0,Europe,71.581,2497.437901,3.73,True,0.421,0.337,1.0,True,8.5,1990.0,True
Albania,1997,3428038.0,Europe,72.95,3193.054604,3.09,True,0.372,0.314,1.0,True,8.22,1995.0,True
Albania,2002,3508512.0,Europe,75.651,4604.211737,2.43,True,0.482,0.398,1.0,True,9.48,2000.0,True
