event_id,year,month,state,event_type,cz_type,deaths_direct,deaths_indirect,injuries_direct,injuries_indirect,damage_property_usd,damage_crops_usd,magnitude,magnitude_type,tor_f_scale,begin_lat,begin_lon,duration_hours,state_population,state_real_gdp_musd
927875,2021,1,Colorado,Dense Fog,Z,0,0,0,0,0.0,0.0,,,,,,1.0,5814368.0,406309.2
927944,2021,1,Vermont,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,10.0,647238.0,33584.3
928072,2021,1,Maine,Winter Storm,Z,0,0,0,0,,,,,,,,14.0,1379009.0,71353.5
928138,2021,1,Montana,High Wind,Z,0,0,0,0,,,66.0,MG,,,,0.0,1106416.0,53345.9
928141,2021,1,Montana,High Wind,Z,0,0,0,0,,,51.0,MG,,,,0.0,1106416.0,53345.9
928392,2021,1,Kansas,Winter Weather,Z,0,0,0,0,,,,,,,,8.03,2938966.0,170401.2
928758,2021,1,Colorado,High Wind,Z,0,0,0,0,,,70.0,MG,,,,43.3,5814368.0,406309.2
928897,2021,1,Louisiana,Winter Storm,Z,0,0,0,0,0.0,0.0,,,,,,18.18,4628595.0,242582.1
929308,2021,1,California,Dense Fog,Z,0,0,0,0,0.0,0.0,,,,,,0.67,39152927.0,3151112.5
929432,2021,1,Texas,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,4.0,29572672.0,1905512.4
929459,2021,1,Montana,High Wind,Z,0,0,0,0,,,64.0,MG,,,,0.0,1106416.0,53345.9
929466,2021,1,Montana,High Wind,Z,0,0,0,0,,,63.0,MG,,,,0.0,1106416.0,53345.9
929890,2021,1,Wyoming,High Wind,Z,0,0,0,0,,,63.0,MG,,,,33.4,579662.0,37182.6
930083,2021,1,Kansas,Winter Storm,Z,0,0,0,0,0.0,0.0,,,,,,13.0,2938966.0,170401.2
930161,2021,1,Montana,High Wind,Z,0,0,0,0,,,67.0,MG,,,,0.0,1106416.0,53345.9
930562,2021,1,North Carolina,Winter Storm,Z,0,0,0,0,0.0,0.0,,,,,,7.0,10565503.0,599293.8
930572,2021,1,California,Flood,C,0,0,0,0,0.0,0.0,,,,35.89,-120.05,4.0,39152927.0,3151112.5
930574,2021,1,California,Flood,C,0,0,0,0,0.0,0.0,,,,37.4028,-120.5939,2.0,39152927.0,3151112.5
930593,2021,1,California,Flood,C,0,0,0,0,0.0,0.0,,,,36.7663,-119.7191,2.0,39152927.0,3151112.5
930672,2021,1,Missouri,Winter Storm,Z,0,0,0,0,25000.0,0.0,,,,,,16.5,6172551.0,331578.0
930720,2021,1,Texas,Winter Storm,Z,0,0,0,0,0.0,0.0,,,,,,17.0,29572672.0,1905512.4
930779,2021,1,Colorado,Heavy Snow,Z,0,0,0,0,0.0,0.0,,,,,,88.0,5814368.0,406309.2
930788,2021,1,California,Debris Flow,C,0,0,0,0,0.0,0.0,,,,36.7204,-119.3694,3.0,39152927.0,3151112.5
930794,2021,1,California,Heavy Snow,Z,0,0,0,0,0.0,0.0,,,,,,60.0,39152927.0,3151112.5
930808,2021,1,Texas,High Wind,Z,0,0,0,0,0.0,0.0,53.0,MG,,,,2.0,29572672.0,1905512.4
931341,2021,1,Indiana,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,11.0,6814223.0,386872.8
931347,2021,1,Ohio,Winter Weather,Z,0,0,0,0,0.0,0.0,,,,,,13.0,11761443.0,691630.0
931418,2021,1,Nebraska,Drought,Z,0,0,0,0,0.0,0.0,,,,,,623.98,1964697.0,135166.4
931447,2021,1,Nebraska,Winter Storm,Z,0,0,0,0,0.0,0.0,,,,,,19.0,1964697.0,135166.4
