number_of_elements,mean_atomic_mass,wtd_mean_atomic_mass,gmean_atomic_mass,wtd_gmean_atomic_mass,entropy_atomic_mass,wtd_entropy_atomic_mass,range_atomic_mass,wtd_range_atomic_mass,std_atomic_mass,wtd_std_atomic_mass,mean_fie,wtd_mean_fie,gmean_fie,wtd_gmean_fie,entropy_fie,wtd_entropy_fie,range_fie,wtd_range_fie,std_fie,wtd_std_fie,mean_atomic_radius,wtd_mean_atomic_radius,gmean_atomic_radius,wtd_gmean_atomic_radius,entropy_atomic_radius,wtd_entropy_atomic_radius,range_atomic_radius,wtd_range_atomic_radius,std_atomic_radius,wtd_std_atomic_radius,mean_Density,wtd_mean_Density,gmean_Density,wtd_gmean_Density,entropy_Density,wtd_entropy_Density,range_Density,wtd_range_Density,std_Density,wtd_std_Density,mean_ElectronAffinity,wtd_mean_ElectronAffinity,gmean_ElectronAffinity,wtd_gmean_ElectronAffinity,entropy_ElectronAffinity,wtd_entropy_ElectronAffinity,range_ElectronAffinity,wtd_range_ElectronAffinity,std_ElectronAffinity,wtd_std_ElectronAffinity,mean_FusionHeat,wtd_mean_FusionHeat,gmean_FusionHeat,wtd_gmean_FusionHeat,entropy_FusionHeat,wtd_entropy_FusionHeat,range_FusionHeat,wtd_range_FusionHeat,std_FusionHeat,wtd_std_FusionHeat,mean_ThermalConductivity,wtd_mean_ThermalConductivity,gmean_ThermalConductivity,wtd_gmean_ThermalConductivity,entropy_ThermalConductivity,wtd_entropy_ThermalConductivity,range_ThermalConductivity,wtd_range_ThermalConductivity,std_ThermalConductivity,wtd_std_ThermalConductivity,mean_Valence,wtd_mean_Valence,gmean_Valence,wtd_gmean_Valence,entropy_Valence,wtd_entropy_Valence,range_Valence,wtd_range_Valence,std_Valence,wtd_std_Valence,critical_temp,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,formula
4,88.9444675,57.8626922857143,66.3615924315719,36.1166119053847,1.1817952393305,1.06239554519617,122.90607,31.7949208571429,51.9688277861034,53.6225345301219,775.425,1010.26857142857,718.15289995213,938.016780052204,1.30596703599158,0.791487788469155,810.6,735.985714285714,323.811807806633,355.562966713294,160.25,105.514285714286,136.126003095455,84.528422716633,1.25924397214289,1.20703998701461,205,42.9142857142857,75.2375404967494,69.2355694829807,4654.35725,2961.50228571429,724.953210852388,53.5438109235142,1.03312880053102,0.814598190091683,8958.571,1579.58342857143,3306.1628967555,3572.59662370838,81.8375,111.727142857143,60.1231785550982,99.4146820543113,1.15968659338134,0.787381690763223,127.05,80.9871428571429,51.4337118896741,42.55839575195,6.9055,3.84685714285714,3.47947484936327,1.04098598567486,1.08857534188499,0.994998193254128,12.878,1.74457142857143,4.59906411675245,4.66691955388659,107.756645,61.0151885714286,7.06248773046785,0.62197948704754,0.308147989812345,0.262848266362233,399.97342,57.1276685714286,168.854243757651,138.51716251123,2.25,2.25714285714286,2.21336383940064,2.21978342968743,1.36892236074022,1.0662210317362,1,1.08571428571429,0.433012701892219,0.43705881545081,29.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,1.8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Ba0.2La1.8Cu1O4
4,76.5177175,56.8088170714286,59.3100961333418,35.7734324182576,1.19727303349869,0.981879783570863,122.90607,34.8331599285714,44.2894585275144,52.5332069817455,787.05,1011.54071428571,734.219624171273,940.294344338809,1.31300802421591,0.786865234305601,772.0,738.578571428571,314.505965762178,353.819831451067,151.75,104.371428571429,131.302196551623,84.1108347003322,1.27527399052522,1.16005975115976,171,46.8428571428571,65.5796271718588,67.1114577035996,4434.35725,2961.47371428571,674.484751445268,53.4270174887903,0.995982779568411,0.769628332487839,8958.571,1623.48342857143,3402.85619588643,3581.84892090518,79.6075,111.779214285714,48.4772646848066,98.4119621279586,1.09667176877521,0.777657155958259,135.97,81.2886428571429,54.3730969207199,42.5578923529527,6.9055,3.83471428571429,3.47947484936327,1.03921119227177,1.08857534188499,0.96403104867923,12.878,1.74457142857143,4.59906411675245,4.6583013524026,112.006645,61.34376,8.33981834610162,0.629441022509672,0.403693221013522,0.283412116654505,399.97342,57.1276685714286,166.742351106334,138.437713993087,2.25,2.26428571428571,2.21336383940064,2.2262216392083,1.36892236074022,1.04883427304761,1,1.1,0.433012701892219,0.440952123830019,36.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.85,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Sr0.15La1.85Cu1O4
5,69.17125,47.5053192307692,54.8727651044573,33.3190727483359,1.41917339072535,1.42895154099928,121.3276,14.3039615384615,41.8090108966237,40.7277630997463,753.08,1006.96538461538,708.3233403671,943.328777591012,1.5430376416509,0.943576679628931,810.6,684.384615384615,290.594200905662,337.882349736286,170.4,112.269230769231,148.584487396916,88.773920134718,1.50703211965634,1.50958098343178,205,26.0,70.3380409167045,76.0169807407973,3698.6858,2877.07715384615,791.947094116295,64.2890140414117,1.21828823769393,0.849876140395924,8958.571,2066.92284615385,3052.92000571364,3647.09104266043,62.564,108.723846153846,31.6524095958504,82.0521594191399,1.15814359700469,0.754630047998803,138.63,76.5819230769231,57.1522159150457,50.332097732264,8.2524,5.27107692307692,4.68830001966416,1.34028272871089,1.39184163265638,1.18117622675249,12.878,2.90353846153846,4.4281001614688,5.65961070231647,127.005316,103.398927692308,14.5436454295599,1.20267708825327,0.85335924532389,0.429594404211726,399.97342,92.29338,154.894318323944,166.8227082224,2.2,2.07692307692308,2.1689435423954,2.06336223306145,1.59416669911802,1.28513193407875,1,1.0,0.4,0.266469355010596,82.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Y1Ba1.5Ca0.5Cu3O7
4,76.5177175,55.3435179285714,59.3100961333418,35.3055522679253,1.19727303349869,1.10528463853247,122.90607,28.3610036428571,44.2894585275144,50.9131316961109,787.05,1011.76642857143,734.219624171273,940.683823350249,1.31300802421591,0.817508477887223,772.0,722.892857142857,314.505965762178,353.522043081316,151.75,105.057142857143,131.302196551623,84.3902385217879,1.27527399052522,1.26810420283283,171,35.0142857142857,65.5796271718588,68.1485532210512,4434.35725,2861.01657142857,674.484751445268,52.1468945665342,0.995982779568411,0.848319375790224,8958.571,1447.88342857143,3402.85619588643,3540.18933743545,79.6075,110.5515,48.4772646848066,92.8782092124456,1.09667176877521,0.768656136490803,135.97,81.1020714285714,54.3730969207199,44.8925825073427,6.9055,3.88328571428571,3.47947484936327,1.04632857284431,1.08857534188499,1.06528363087208,12.878,1.74457142857143,4.59906411675245,4.69249066409866,112.006645,61.9723314285714,8.33981834610162,0.647506780610342,0.403693221013522,0.326254937357308,399.97342,57.1276685714286,166.742351106334,138.266623277088,2.25,2.23571428571429,2.21336383940064,2.20058030129855,1.36892236074022,1.10899342574812,1,1.04285714285714,0.433012701892219,0.424444414764159,18.3,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.65,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,La1.65Sr0.35Cu1O4
4,76.4445625,65.8346466666667,59.3566724745425,48.9559936648586,1.1995407452483,1.24186674738122,121.3276,22.1322666666667,43.8233541228786,43.8497276094712,794.0,868.586666666667,741.629348855485,810.835777778831,1.31500430814302,1.17577392128513,810.6,355.646666666667,311.743492313793,326.046434048213,164.5,143.2,139.000513752081,117.942944397716,1.25670056650299,1.29933895216816,205,34.6,77.5258021564434,77.8744288368568,4235.85725,4285.40966666667,669.556587809389,367.204850069315,1.01540712310099,0.823409942433626,8958.571,2986.19033333333,3194.93894591629,3677.81491325854,77.2375,94.7033333333333,53.5279646494387,70.42039083776,1.10518217403612,0.958822515972366,127.05,44.41,54.8307552268797,52.6187592235148,8.1805,7.56066666666667,4.03556899860879,2.99281634882312,1.11209819664271,1.01349298403369,12.878,4.29266666666667,4.9481552875794,5.49400408526321,108.756645,139.20886,7.55238461047956,5.71899012324137,0.336261915781173,0.203484765789556,399.97342,133.324473333333,168.301046773239,184.546905147894,2.25,2.13333333333333,2.21336383940064,2.11110011888848,1.36892236074022,1.35471041871793,1,0.266666666666667,0.433012701892219,0.339934634239519,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Y0.4Ba0.6Cu1O
4,76.4445625,81.45675,59.3566724745425,68.2296174829281,1.1995407452483,1.10818929255145,121.3276,36.9506571428571,43.8233541228786,40.6122928726987,794.0,738.357142857143,741.629348855485,702.424196542615,1.31500430814302,1.28243898817756,810.6,231.371428571429,311.743492313793,255.465227475247,164.5,171.571428571429,139.000513752081,153.255987081769,1.25670056650299,1.16683237250706,205,65.4285714285714,77.5258021564434,67.9114068744969,4235.85725,5481.91842857143,669.556587809389,1780.07744735046,1.01540712310099,0.810984912286634,8958.571,3839.79585714286,3194.93894591629,3275.96830700402,77.2375,80.6,53.5279646494387,56.4359293939758,1.10518217403612,0.953371383883153,127.05,46.9714285714286,54.8307552268797,52.6502950744682,8.1805,9.56028571428571,4.03556899860879,6.22966261251767,1.11209819664271,0.9751483337237,12.878,5.58257142857143,4.9481552875794,4.35965010766053,108.756645,179.003797142857,7.55238461047956,26.5786364903901,0.336261915781173,0.201966126461713,399.97342,171.424774285714,168.301046773239,191.475654911147,2.25,2.14285714285714,2.21336383940064,2.1192680453341,1.36892236074022,1.30952583530407,1,0.571428571428571,0.433012701892219,0.349927106111883,90.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Y1Ba2Cu3O
4,95.45068,51.9825056,69.2726955434274,32.8847552212223,1.16176283437156,1.36853670653168,148.93092,6.8796,58.973428446235,51.9445073406819,783.65,1043.08,728.828770624619,977.820672619618,1.31032924491217,0.79220816108462,810.6,741.94,318.123234769169,337.915536192108,168.0,106.24,141.24059875603,82.7411362418573,1.25366237079374,1.36759269405101,205,12.28,79.8717722352522,77.8949446369917,5316.60725,2917.6574,792.904348559951,42.1169255141901,1.0273100853899,0.924177080115589,8958.571,1791.1426,3771.22249539293,3900.02186166307,82.3375,115.454,60.7214928257155,97.2005565474433,1.1640132003214,0.734149757201797,127.05,83.646,51.12571973821,44.386373855047,9.5805,5.0732,4.45954750545227,1.09162319723719,1.08438195120407,1.10477513305431,16.778,2.4868,6.27525622982839,6.27807392119589,108.506645,83.455948,7.43878255508962,0.66390705463033,0.329500146289958,0.200826718278027,399.97342,79.984052,168.437846600662,158.412326437431,2.25,2.08,2.21336383940064,2.06593805917258,1.36892236074022,1.13272667991716,1,0.96,0.433012701892219,0.271293199325011,94.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Ho0.4Ba0.6Cu1O3
4,76.4445625,46.868971,59.3566724745425,31.5719577064091,1.1995407452483,1.29151713892627,121.3276,13.891429,43.8233541228786,43.3472093765044,794.0,1044.134,741.629348855485,979.306042331044,1.31500430814302,0.790273215886266,810.6,750.936,311.743492313793,336.752224408392,164.5,105.94,139.000513752081,82.61052220892,1.25670056650299,1.32954722466143,205,22.7,77.5258021564434,77.6016520442703,4235.85725,2552.5774,669.556587809389,39.7058084580045,1.01540712310099,0.805023888407095,8958.571,1791.1426,3194.93894591629,3530.63887734697,77.2375,113.509,53.5279646494387,92.0594479603723,1.10518217403612,0.684884614289775,127.05,83.634,54.8307552268797,47.6036749526757,8.1805,4.5572,4.03556899860879,1.0498153850353,1.11209819664271,1.05103976647956,12.878,2.4868,4.9481552875794,5.50827546152151,108.756645,83.555948,7.55238461047956,0.66789788810538,0.336261915781173,0.202651754784312,399.97342,79.984052,168.301046773239,158.370148631992,2.25,2.06,2.21336383940064,2.04925248880628,1.36892236074022,1.1172809977923,1,1.02,0.433012701892219,0.237486841740758,95.5,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Y0.3Ba0.7Cu1O3
4,97.4816,52.6324,70.1103882945279,33.0114883095383,1.15476159015656,1.3683461595458,157.0546,6.8796,61.4203089521699,53.3844295503474,790.9,1045.4,737.864919527106,981.683854335301,1.31369403205635,0.797328160020562,810.6,739.62,313.560448717628,334.771976127035,167.0,105.92,140.611449046856,82.6230158715422,1.25460859180271,1.36635191963239,205,12.6,79.1612278833521,77.4090020604839,4760.35725,2739.6574,737.145436258023,41.1455642827849,1.03430323226115,0.884819810605259,8958.571,1791.1426,3358.66779585042,3671.81189004146,82.3375,115.454,60.7214928257155,97.2005565474433,1.1640132003214,0.734149757201797,127.05,83.646,51.12571973821,44.386373855047,7.2555,4.3292,3.65848472055263,1.02460412562465,1.10356440398226,1.02249444476288,12.878,2.4868,4.59293378463047,5.29460081214816,114.256645,85.295948,9.29475656886456,0.712956205469156,0.454622773405078,0.275827982112344,399.97342,79.984052,165.549597553024,157.750314353662,2.25,2.08,2.21336383940064,2.06593805917258,1.36892236074022,1.13272667991716,1,0.96,0.433012701892219,0.271293199325011,88.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Yb0.4Ba0.6Cu1O3
5,72.201783,56.4178981285714,58.4087003025409,35.6410587887378,1.44154355788642,1.03018078092331,122.90607,35.5615835857143,40.54323706565,52.1354427824092,773.0,1011.51657142857,730.702157771626,940.288026886182,1.54906997155185,0.805863041592764,772.0,748.294857142857,282.702691886724,353.809339874643,153.6,104.588571428571,136.767455889009,84.2057775348207,1.52140462027423,1.21402411433066,171,49.6828571428571,58.7727828165385,67.4057385069956,5041.4858,2932.10228571429,1091.04290370734,53.0764823747807,1.30856430686073,0.828380661644871,8958.571,1579.58342857143,3276.88335721712,3565.44479835721,63.986,111.134,24.1907168067826,95.7917287229255,1.12135037382873,0.772679489824901,141.0,81.4242857142857,57.8037367650224,43.5515315262932,8.1644,3.84714285714286,4.54282228484194,1.04100860386739,1.3659515888642,1.04295883203749,12.978,1.79628571428571,4.82290674178964,4.66748905970319,91.145316,60.3800457142857,8.20773673603571,0.626795307540739,0.48257236493896,0.302940859078352,399.97342,55.9848114285714,154.865068729392,137.232929816827,2.6,2.26285714285714,2.49146187923103,2.22418389027538,1.5649572502428,1.0900331296957,2,1.13142857142857,0.8,0.446629097821009,32.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,Sr0.2La1.8Cu0.98Mn0.02O4
