roll_year,municipality_name,school_district_name,swis_code,tax_class,property_class,property_class_description,print_key_code,parcel_address_number,parcel_address_street,parcel_address_suff,front,depth,bank,grid_coordinates_east,grid_coordinates_north,full_market_value,assessment_land,assessment_total,county_taxable_value,town_taxable_value,school_taxable,n_exemptions,exemption_school_total,town_equalization_rate_2025,town_residential_cod,town_residential_prd
2025,Cornwall,Cornwall,332489,,220,Two Family Year-Round Residence,1-1-10.1,281,Jackson,Ave,0.0,0.0,,602218,950859,633700,123600,400600,400600,400600,400600,0,0.0,63.22,10.6,1.01
2025,Cornwall,Cornwall,332489,,210,One Family Year-Round Residence,1-1-10.2,279,Jackson,Ave,135.0,296.3,,602481,950868,735500,91000,465000,465000,465000,465000,0,0.0,63.22,10.6,1.01
2025,Cornwall,Cornwall,332489,,210,One Family Year-Round Residence,1-1-102,25,Twin Ponds,Rd,0.0,0.0,C080370,599174,948567,836000,123600,528500,528500,528500,528500,0,0.0,63.22,10.6,1.01
2025,Cornwall,Cornwall,332489,,210,One Family Year-Round Residence,1-1-113,38,Ryan,Ct,0.0,0.0,,603686,951547,707700,110100,447400,447400,447400,447400,1,25300.0,63.22,10.6,1.01
2025,Cornwall,Cornwall,332489,,210,One Family Year-Round Residence,1-1-117.2,16,Windy Hill,Rd,0.0,0.0,,604210,951718,904500,111400,571800,571800,571800,571800,0,0.0,63.22,10.6,1.01
2025,Cornwall,Cornwall,332489,,210,One Family Year-Round Residence,1-1-117.3,15,Windy Hill,Rd,0.0,0.0,C190294,604228,951991,769200,114000,486300,380522,380522,466749,3,92171.0,63.22,10.6,1.01
2025,Cornwall,Cornwall,332489,,210,One Family Year-Round Residence,1-1-117.4,25,Windy Hill,Rd,0.0,0.0,C030614,604472,951996,796900,111400,503800,454922,454922,499890,1,3910.0,63.22,10.6,1.01
2025,Cornwall,Cornwall,332489,,210,One Family Year-Round Residence,1-1-119,70,Ryan,Ct,0.0,0.0,,604391,952279,787300,123900,497700,497700,497700,497700,1,25300.0,63.22,10.6,1.01
2025,Cornwall,Cornwall,332489,,210,One Family Year-Round Residence,1-1-120,59,Ryan,Ct,0.0,0.0,C080370,603790,952120,761000,124300,481100,481100,481100,481100,0,0.0,63.22,10.6,1.01
2025,Cornwall,Cornwall,332489,,210,One Family Year-Round Residence,1-1-123,9,Diamond,Ct,0.0,0.0,,603986,949341,718100,99300,454000,454000,454000,454000,0,0.0,63.22,10.6,1.01
2025,Cornwall,Cornwall,332489,,220,Two Family Year-Round Residence,1-1-124,14,Diamond,Ct,0.0,0.0,,604258,949226,685400,95500,433300,433300,433300,433300,1,72620.0,63.22,10.6,1.01
2025,Cornwall,Cornwall,332489,,210,One Family Year-Round Residence,1-1-128,10,Waterview,Ter,0.0,0.0,,599467,949618,1038600,224900,656600,656600,656600,656600,0,0.0,63.22,10.6,1.01
2025,Cornwall,Cornwall,332489,,210,One Family Year-Round Residence,1-1-129,30,Waterview,Ter,0.0,0.0,,598984,949596,761000,225500,481100,350759,350759,470673,2,10427.0,63.22,10.6,1.01
2025,Cornwall,Cornwall,332489,,210,One Family Year-Round Residence,1-1-13.3,1,Jefferson,Ave,0.0,0.0,C130015,602591,950011,730800,103000,462000,380537,380537,455483,1,6517.0,63.22,10.6,1.01
2025,Cornwall,Cornwall,332489,,210,One Family Year-Round Residence,1-1-132,60,Waterview,Ter,0.0,0.0,,598314,949584,737100,225500,466000,466000,466000,466000,0,0.0,63.22,10.6,1.01
2025,Cornwall,Cornwall,332489,,210,One Family Year-Round Residence,1-1-14.2,4,Scenic View,Dr,0.0,0.0,C190321,602470,948963,748200,93300,473000,473000,473000,473000,1,25300.0,63.22,10.6,1.01
2025,Cornwall,Cornwall,332489,,210,One Family Year-Round Residence,1-1-140,9,Seidman,Way,0.0,0.0,0210091,601874,951101,643300,96400,406700,406700,406700,406700,1,25300.0,63.22,10.6,1.01
2025,Cornwall,Cornwall,332489,,210,One Family Year-Round Residence,1-1-141,13,Seidman,Way,0.0,0.0,,601642,951068,652800,100000,412700,412700,412700,412700,0,0.0,63.22,10.6,1.01
2025,Cornwall,Cornwall,332489,,210,One Family Year-Round Residence,1-1-142,2,Wyndgate,Dr,0.0,0.0,C060049,600905,947862,680200,92500,430000,430000,430000,430000,1,72620.0,63.22,10.6,1.01
2025,Cornwall,Cornwall,332489,,210,One Family Year-Round Residence,1-1-144,2,Fox Meadow,Ct,0.0,0.0,C030614,600666,947480,619300,94200,391500,391500,391500,391500,1,25300.0,63.22,10.6,1.01
2025,Cornwall,Cornwall,332489,,210,One Family Year-Round Residence,1-1-151,8,Wyndgate,Dr,0.0,0.0,,600456,946827,661200,94900,418000,418000,418000,418000,1,72620.0,63.22,10.6,1.01
2025,Cornwall,Cornwall,332489,,210,One Family Year-Round Residence,1-1-155,4,Blossom,Ter,0.0,0.0,C060235,599982,946356,747500,103000,472600,472600,472600,472600,1,25300.0,63.22,10.6,1.01
2025,Cornwall,Cornwall,332489,,210,One Family Year-Round Residence,1-1-163,5,Wyndgate,Dr,0.0,0.0,C180281,600819,947017,593500,94000,375200,375200,375200,375200,0,0.0,63.22,10.6,1.01
2025,Cornwall,Cornwall,332489,,210,One Family Year-Round Residence,1-1-165,1,Wyndgate,Dr,0.0,0.0,C030385,600992,947593,626200,100200,395900,395900,395900,395900,0,0.0,63.22,10.6,1.01
2025,Cornwall,Cornwall,332489,,210,One Family Year-Round Residence,1-1-168,126,Sycamore,Dr,0.0,0.0,C170030,600646,948850,495400,96300,313200,313200,313200,313200,0,0.0,63.22,10.6,1.01
2025,Cornwall,Cornwall,332489,,210,One Family Year-Round Residence,1-1-169,122,Sycamore,Dr,0.0,0.0,C130780,600691,948724,442400,94000,279700,279700,279700,279700,0,0.0,63.22,10.6,1.01
